"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22","V23","V24","V25","V26","V27","V28","V29","V30","V31","V32","V33","V34","V35","V36","V37","V38","V39","V40","V41","V42","V43","V44","V45","V46","V47","V48","V49","V50","V51","V52","V53","V54","V55","V56","V57","V58","V59","V60","V61","V62"
"future_column","SE:T1. Total Population","Total Population","SE:T2. Population Density (per Sq. Mile)","Total Population","Population Density (Per Sq. Mile)","Area (Land)","SE:T57. Median Household Income (In 2016 Inflation Adjusted Dollars)","Median Household Income (In 2016 Inflation Adjusted Dollars)","SE:T61. Median Family Income (In 2016 Inflation Adjusted Dollars)","Median Family Income (In 2016 Inflation Adjusted Dollars)","SE:T157. Gini Index of Income Inequality","Gini Index","SE:T93. Housing Units","Housing Units","SE:T238. Total Population in Renter Occupied Housing Units by Units in Structure","Total Population in Renter Occupied Housing Units:","1, Detached or Attached","2 To 4","5 or More","Mobile Home","Boat, Rv, Van, Etc.","SE:T101. Median House Value for All Owner-Occupied Housing Units","Median Value","SE:T104. Median Gross Rent","Median Gross Rent","SE:T105. Median Gross Rent as a Percentage of Household Income in The Past 12 Months (Dollars)","Median Gross Rent as a Percentage of Household  Income in The Past 12 Months (Dollars)","SE:T112. Median Selected Monthly Owner Costs as a Percentage of Household Income in the Past 12 Months (Dollars) and Mortgage Status","Median Selected Monthly Owner Costs as a Percentage of Household Income:","Housing Units with a Mortgage","Housing Units Without a Mortgage","SE:T225. Monthly Housing Costs as a Percentage of Household Income in the Past 12 Months (Renter-Occupied Housing Units)","Renter-Occupied Housing Units:","Less Than $20,000:","Less Than 20 Percent","20 To 29 Percent","30 Percent or More","$20,000 To $34,999:","Less Than 20 Percent","20 To 29 Percent","30 Percent or More","$35,000 To $49,999:","Less Than 20 Percent","20 To 29 Percent","30 Percent or More","$50,000 To $74,999:","Less Than 20 Percent","20 To 29 Percent","30 Percent or More","$75,000 or More:","Less Than 20 Percent","20 To 29 Percent","30 Percent or More","Zero or Negative Income","No Cash Rent","SE:T147. Average Commute to Work (in Min)","Average Commute to Work (in Min)","SE:T142. Owner-Occupied Housing Units","Owner-Occupied Housing Units","Note:","For data sources, citations and notes please take a look at sheet in this workbook titled 'Sources & Notes.'","© Social Explorer 2005-2018"
"X223",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"39.20%","22.50%","34.20%","4.10%","0.00%",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"11.70%","0.00%","0.00%","11.70%","37.30%","0.00%","5.60%","31.70%","7.20%","1.30%","0.00%","6.00%","26.50%","6.70%","11.50%","8.30%","17.30%","9.00%","8.30%","0.00%","0.00%","0.00%",NA,NA,NA,NA,NA,NA,NA
"Palo Alto city, California",NA,"66,649",NA,"66,649","2,790.60","23.88",NA,"$137,043",NA,"$176,797",NA,"0.5",NA,"27,765",NA,"27,081","11,553","3,240","11,719","569","0",NA,"$1,702,100",NA,"$2,283",NA,"25.90%",NA,"18.70%","24.80%","10.00%",NA,"11,773","1,233","14","132","1,087","1,001","89","137","775","751","82","174","495","1,479","106","384","989","6,640","3,828","1,643","1,169","367","302",NA,"24",NA,"14,575",NA,NA,NA
"X225",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"42.70%","12.00%","43.30%","2.10%","0.00%",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"10.50%","0.10%","1.10%","9.20%","8.50%","0.80%","1.20%","6.60%","6.40%","0.70%","1.50%","4.20%","12.60%","0.90%","3.30%","8.40%","56.40%","32.50%","14.00%","9.90%","3.10%","2.60%",NA,NA,NA,NA,NA,NA,NA
"Pasatiempo CDP, California",NA,"1,288",NA,"1,288","1,457.60","0.88",NA,"$104,842",NA,"$155,662",NA,"0.44",NA,"475",NA,"40","0","40","0","0","0",NA,"$926,700",NA,NA,NA,NA,NA,"21.20%","24.20%","10.00%",NA,"19","0","0","0","0","0","0","0","0","0","0","0","0","19","0","19","0","0","0","0","0","0","0",NA,"33",NA,"415",NA,NA,NA
"X227",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"0.00%","100.00%","0.00%","0.00%","0.00%",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"0.00%","0.00%","0.00%","0.00%","0.00%","0.00%","0.00%","0.00%","0.00%","0.00%","0.00%","0.00%","100.00%","0.00%","100.00%","0.00%","0.00%","0.00%","0.00%","0.00%","0.00%","0.00%",NA,NA,NA,NA,NA,NA,NA
"Penngrove CDP, California",NA,"2,940",NA,"2,940","730.6","4.02",NA,"$74,294",NA,"$74,659",NA,"0.51",NA,"1,223",NA,"928","757","17","131","23","0",NA,"$703,900",NA,"$1,189",NA,"37.10%",NA,"25.50%","28.00%","12.90%",NA,"412","88","0","0","88","42","0","0","42","117","0","36","81","50","0","33","17","89","55","22","12","0","26",NA,"27",NA,"719",NA,NA,NA
"X229",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"81.60%","1.80%","14.10%","2.50%","0.00%",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"21.40%","0.00%","0.00%","21.40%","10.20%","0.00%","0.00%","10.20%","28.40%","0.00%","8.70%","19.70%","12.10%","0.00%","8.00%","4.10%","21.60%","13.40%","5.30%","2.90%","0.00%","6.30%",NA,NA,NA,NA,NA,NA,NA
"Pescadero CDP, California",NA,"1,040",NA,"1,040","258.3","4.03",NA,"$58,468",NA,"$58,871",NA,"0.38",NA,"252",NA,"700","133","265","129","173","0",NA,"$685,000",NA,"$715",NA,"24.80%",NA,"15.20%","50.00%","10.00%",NA,"133","16","0","0","16","21","0","0","21","60","18","42","0","10","0","10","0","26","0","26","0","0","0",NA,"20",NA,"119",NA,NA,NA
"X231",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"19.00%","37.90%","18.40%","24.70%","0.00%",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"12.00%","0.00%","0.00%","12.00%","15.80%","0.00%","0.00%","15.80%","45.10%","13.50%","31.60%","0.00%","7.50%","0.00%","7.50%","0.00%","19.60%","0.00%","19.60%","0.00%","0.00%","0.00%",NA,NA,NA,NA,NA,NA,NA
"Petaluma city, California",NA,"59,757",NA,"59,757","4,155.00","14.38",NA,"$80,907",NA,"$92,393",NA,"0.43",NA,"22,931",NA,"20,452","12,344","2,026","5,827","255","0",NA,"$498,200",NA,"$1,548",NA,"29.70%",NA,"22.40%","25.40%","11.60%",NA,"7,638","1,154","99","122","933","954","66","122","766","911","134","81","696","1,396","175","431","790","2,766","1,546","871","349","145","312",NA,"30",NA,"14,457",NA,NA,NA
"X233",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"60.40%","9.90%","28.50%","1.30%","0.00%",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"15.10%","1.30%","1.60%","12.20%","12.50%","0.90%","1.60%","10.00%","11.90%","1.80%","1.10%","9.10%","18.30%","2.30%","5.60%","10.30%","36.20%","20.20%","11.40%","4.60%","1.90%","4.10%",NA,NA,NA,NA,NA,NA,NA
"Piedmont city, California",NA,"11,201",NA,"11,201","6,676.80","1.68",NA,"$202,083",NA,"$226,742",NA,"0.46",NA,"3,976",NA,"1,357","1,151","44","162","0","0",NA,"$1,572,700",NA,"$2,636",NA,"24.50%",NA,"18.00%","23.80%","10.00%",NA,"448","34","0","0","34","38","0","0","38","37","0","0","37","46","0","24","22","241","96","128","17","0","52",NA,"28",NA,"3,477",NA,NA,NA
"X235",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"84.80%","3.20%","11.90%","0.00%","0.00%",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"7.60%","0.00%","0.00%","7.60%","8.50%","0.00%","0.00%","8.50%","8.30%","0.00%","0.00%","8.30%","10.30%","0.00%","5.40%","4.90%","53.80%","21.40%","28.60%","3.80%","0.00%","11.60%",NA,NA,NA,NA,NA,NA,NA
"Pinole city, California",NA,"19,040",NA,"19,040","3,576.80","5.32",NA,"$74,124",NA,"$82,485",NA,"0.38",NA,"7,308",NA,"5,815","3,233","839","1,743","0","0",NA,"$387,500",NA,"$1,558",NA,"33.00%",NA,"19.40%","24.90%","10.20%",NA,"2,065","196","0","0","196","376","29","8","339","273","8","42","223","504","61","172","271","614","363","189","62","8","94",NA,"36",NA,"4,738",NA,NA,NA
"X237",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"55.60%","14.40%","30.00%","0.00%","0.00%",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"9.50%","0.00%","0.00%","9.50%","18.20%","1.40%","0.40%","16.40%","13.20%","0.40%","2.00%","10.80%","24.40%","3.00%","8.30%","13.10%","29.70%","17.60%","9.20%","3.00%","0.40%","4.60%",NA,NA,NA,NA,NA,NA,NA
"Pittsburg city, California",NA,"67,998",NA,"67,998","3,949.20","17.22",NA,"$63,950",NA,"$68,600",NA,"0.43",NA,"21,658",NA,"29,600","19,135","3,221","7,036","169","39",NA,"$280,900",NA,"$1,439",NA,"35.10%",NA,"23.30%","27.00%","10.00%",NA,"9,229","2,131","40","161","1,930","1,489","90","103","1,296","940","67","84","789","1,881","134","659","1,088","2,386","1,291","977","118","196","206",NA,"41",NA,"11,480",NA,NA,NA
"X239",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"64.70%","10.90%","23.80%","0.60%","0.10%",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"23.10%","0.40%","1.70%","20.90%","16.10%","1.00%","1.10%","14.00%","10.20%","0.70%","0.90%","8.60%","20.40%","1.50%","7.10%","11.80%","25.90%","14.00%","10.60%","1.30%","2.10%","2.20%",NA,NA,NA,NA,NA,NA,NA
"Pleasant Hill city, California",NA,"34,395",NA,"34,395","4,863.90","7.07",NA,"$93,476",NA,"$113,302",NA,"0.42",NA,"14,149",NA,"12,753","5,136","2,400","5,187","0","30",NA,"$584,700",NA,"$1,719",NA,"29.40%",NA,"21.70%","25.10%","10.00%",NA,"5,511","570","0","46","524","537","43","21","473","502","0","0","502","1,406","89","524","793","2,308","972","1,079","257","102","86",NA,"33",NA,"8,218",NA,NA,NA
"X241",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"40.30%","18.80%","40.70%","0.00%","0.20%",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"10.30%","0.00%","0.80%","9.50%","9.70%","0.80%","0.40%","8.60%","9.10%","0.00%","0.00%","9.10%","25.50%","1.60%","9.50%","14.40%","41.90%","17.60%","19.60%","4.70%","1.90%","1.60%",NA,NA,NA,NA,NA,NA,NA
"Pleasanton city, California",NA,"77,046",NA,"77,046","3,195.20","24.11",NA,"$130,170",NA,"$150,470",NA,"0.41",NA,"28,132",NA,"21,445","9,893","2,792","8,626","56","78",NA,"$828,900",NA,"$1,949",NA,"27.50%",NA,"21.80%","24.00%","10.00%",NA,"8,322","923","0","41","882","715","0","20","695","727","0","85","642","1,090","151","246","693","4,654","2,035","1,907","712","48","165",NA,"33",NA,"18,906",NA,NA,NA
"X243",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"46.10%","13.00%","40.20%","0.30%","0.40%",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"11.10%","0.00%","0.50%","10.60%","8.60%","0.00%","0.20%","8.40%","8.70%","0.00%","1.00%","7.70%","13.10%","1.80%","3.00%","8.30%","55.90%","24.50%","22.90%","8.60%","0.60%","2.00%",NA,NA,NA,NA,NA,NA,NA
"Pleasure Point CDP, California",NA,"6,155",NA,"6,155",NA,NA,NA,"$57,981",NA,"$78,713",NA,"0.46",NA,"3,113",NA,"2,896","1,261","545","659","431","0",NA,"$765,400",NA,"$1,257",NA,"32.50%",NA,"27.50%","30.20%","13.00%",NA,"1,260","237","0","18","219","241","0","0","241","150","0","43","107","286","40","149","97","307","236","60","11","0","39",NA,"25",NA,"1,380",NA,NA,NA
"X245",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"43.50%","18.80%","22.80%","14.90%","0.00%",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"18.80%","0.00%","1.40%","17.40%","19.10%","0.00%","0.00%","19.10%","11.90%","0.00%","3.40%","8.50%","22.70%","3.20%","11.80%","7.70%","24.40%","18.70%","4.80%","0.90%","0.00%","3.10%",NA,NA,NA,NA,NA,NA,NA
"Port Costa CDP, California",NA,"228",NA,"228","1,440.10","0.16",NA,"$136,375",NA,NA,NA,"0.13",NA,"171",NA,"179","97","0","82","0","0",NA,NA,NA,"$1,125",NA,"13.90%",NA,NA,NA,NA,NA,"90","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","90","90","0","0","0","0",NA,"54",NA,"44",NA,NA,NA
"X247",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"54.20%","0.00%","45.80%","0.00%","0.00%",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"0.00%","0.00%","0.00%","0.00%","0.00%","0.00%","0.00%","0.00%","0.00%","0.00%","0.00%","0.00%","0.00%","0.00%","0.00%","0.00%","100.00%","100.00%","0.00%","0.00%","0.00%","0.00%",NA,NA,NA,NA,NA,NA,NA
"Portola Valley town, California",NA,"4,550",NA,"4,550","500.5","9.09",NA,"$232,981",NA,"$250,001",NA,"0.54",NA,"1,893",NA,"430","136","51","243","0","0",NA,"$2,000,001",NA,"$3,114",NA,"22.40%",NA,"14.40%","19.60%","10.00%",NA,"288","52","0","0","52","17","0","0","17","16","0","0","16","0","0","0","0","186","121","47","18","0","17",NA,"29",NA,"1,535",NA,NA,NA
"X249",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"31.60%","11.90%","56.50%","0.00%","0.00%",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"18.10%","0.00%","0.00%","18.10%","5.90%","0.00%","0.00%","5.90%","5.60%","0.00%","0.00%","5.60%","0.00%","0.00%","0.00%","0.00%","64.60%","42.00%","16.30%","6.30%","0.00%","5.90%",NA,NA,NA,NA,NA,NA,NA
"Redwood City city, California",NA,"82,595",NA,"82,595","4,253.20","19.42",NA,"$90,461",NA,"$111,066",NA,"0.47",NA,"30,465",NA,"40,133","13,769","5,430","20,503","421","10",NA,"$924,300",NA,"$1,807",NA,"32.10%",NA,"23.60%","26.60%","12.20%",NA,"14,557","1,857","4","53","1,800","1,752","56","59","1,637","1,662","58","159","1,445","2,393","119","681","1,593","6,464","2,661","2,709","1,094","119","310",NA,"25",NA,"14,941",NA,NA,NA
"X251",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"34.30%","13.50%","51.10%","1.10%","0.00%",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"12.80%","0.00%","0.40%","12.40%","12.00%","0.40%","0.40%","11.30%","11.40%","0.40%","1.10%","9.90%","16.40%","0.80%","4.70%","10.90%","44.40%","18.30%","18.60%","7.50%","0.80%","2.10%",NA,NA,NA,NA,NA,NA,NA
"Richmond city, California",NA,"108,303",NA,"108,303","3,602.00","30.07",NA,"$57,107",NA,"$62,445",NA,"0.45",NA,"39,574",NA,"54,853","28,705","12,481","13,318","287","62",NA,"$330,200",NA,"$1,242",NA,"33.70%",NA,"23.20%","27.60%","10.00%",NA,"18,672","4,011","142","406","3,463","3,066","86","178","2,802","3,027","131","863","2,033","3,330","654","1,346","1,330","4,242","2,212","1,658","372","175","821",NA,"34",NA,"18,382",NA,NA,NA
"X253",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"52.30%","22.80%","24.30%","0.50%","0.10%",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"21.50%","0.80%","2.20%","18.60%","16.40%","0.50%","1.00%","15.00%","16.20%","0.70%","4.60%","10.90%","17.80%","3.50%","7.20%","7.10%","22.70%","11.90%","8.90%","2.00%","0.90%","4.40%",NA,NA,NA,NA,NA,NA,NA
"Rio del Mar CDP, California",NA,"9,731",NA,"9,731","3,242.80","3",NA,"$97,874",NA,"$126,086",NA,"0.42",NA,"5,122",NA,"2,742","2,023","342","377","0","0",NA,"$762,200",NA,"$2,018",NA,"32.50%",NA,"21.50%","23.70%","13.70%",NA,"1,271","177","12","34","131","139","0","11","128","160","0","28","132","202","0","13","189","571","161","301","109","0","22",NA,"29",NA,"2,990",NA,NA,NA
"X255",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"73.80%","12.50%","13.80%","0.00%","0.00%",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"13.90%","0.90%","2.70%","10.30%","10.90%","0.00%","0.90%","10.10%","12.60%","0.00%","2.20%","10.40%","15.90%","0.00%","1.00%","14.90%","44.90%","12.70%","23.70%","8.60%","0.00%","1.70%",NA,NA,NA,NA,NA,NA,NA
"Rodeo CDP, California",NA,"9,798",NA,"9,798","2,614.60","3.75",NA,"$70,227",NA,"$82,417",NA,"0.44",NA,"3,309",NA,"3,260","1,346","1,057","857","0","0",NA,"$345,300",NA,"$1,178",NA,"34.70%",NA,"20.70%","25.20%","10.00%",NA,"1,164","348","0","41","307","223","0","23","200","196","35","59","102","159","46","71","42","144","52","58","34","0","94",NA,"35",NA,"2,020",NA,NA,NA
"X257",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"41.30%","32.40%","26.30%","0.00%","0.00%",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"29.90%","0.00%","3.50%","26.40%","19.20%","0.00%","2.00%","17.20%","16.80%","3.00%","5.10%","8.80%","13.70%","4.00%","6.10%","3.60%","12.40%","4.50%","5.00%","2.90%","0.00%","8.10%",NA,NA,NA,NA,NA,NA,NA
"Rohnert Park city, California",NA,"41,928",NA,"41,928","5,987.50","7",NA,"$60,333",NA,"$74,543",NA,"0.41",NA,"16,496",NA,"19,551","8,941","3,283","7,175","143","9",NA,"$341,000",NA,"$1,407",NA,"37.30%",NA,"23.60%","27.20%","12.60%",NA,"7,579","1,563","0","87","1,476","1,346","26","97","1,223","1,126","42","156","928","1,636","129","623","884","1,633","759","664","210","132","143",NA,"26",NA,"8,306",NA,NA,NA
"X259",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"45.70%","16.80%","36.70%","0.70%","0.10%",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"20.60%","0.00%","1.20%","19.50%","17.80%","0.30%","1.30%","16.10%","14.90%","0.60%","2.10%","12.20%","21.60%","1.70%","8.20%","11.70%","21.60%","10.00%","8.80%","2.80%","1.70%","1.90%",NA,NA,NA,NA,NA,NA,NA
"Rollingwood CDP, California",NA,"3,231",NA,"3,231","19,440.70","0.17",NA,"$49,035",NA,"$49,298",NA,"0.4",NA,"836",NA,"1,647","1,389","0","258","0","0",NA,"$198,500",NA,"$1,355",NA,"38.60%",NA,"18.80%","27.30%","10.00%",NA,"398","108","0","0","108","69","9","0","60","72","0","0","72","55","0","20","35","82","42","40","0","0","12",NA,"31",NA,"416",NA,NA,NA
"X261",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"84.30%","0.00%","15.70%","0.00%","0.00%",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"27.10%","0.00%","0.00%","27.10%","17.30%","2.30%","0.00%","15.10%","18.10%","0.00%","0.00%","18.10%","13.80%","0.00%","5.00%","8.80%","20.60%","10.60%","10.10%","0.00%","0.00%","3.00%",NA,NA,NA,NA,NA,NA,NA
"Roseland CDP, California",NA,"5,859",NA,"5,859","6,230.90","0.94",NA,"$54,296",NA,"$55,822",NA,"0.39",NA,"1,781",NA,"2,707","1,621","544","523","19","0",NA,"$312,200",NA,"$1,245",NA,"33.00%",NA,"21.10%","24.50%","10.40%",NA,"695","93","0","0","93","94","0","22","72","250","0","69","181","118","0","45","73","112","43","40","29","28","0",NA,"22",NA,"1,001",NA,NA,NA
"X263",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"59.90%","20.10%","19.30%","0.70%","0.00%",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"13.40%","0.00%","0.00%","13.40%","13.50%","0.00%","3.20%","10.40%","36.00%","0.00%","9.90%","26.00%","17.00%","0.00%","6.50%","10.50%","16.10%","6.20%","5.80%","4.20%","4.00%","0.00%",NA,NA,NA,NA,NA,NA,NA
"Ross town, California",NA,"2,381",NA,"2,381","1,530.00","1.56",NA,"$199,107",NA,"$231,250",NA,"0.52",NA,"876",NA,"311","285","19","7","0","0",NA,"$2,000,001",NA,"$2,266",NA,"15.40%",NA,"21.00%","28.40%","12.60%",NA,"79","0","0","0","0","0","0","0","0","4","0","0","4","0","0","0","0","75","57","4","14","0","0",NA,"32",NA,"690",NA,NA,NA
"X265",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"91.60%","6.10%","2.30%","0.00%","0.00%",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"0.00%","0.00%","0.00%","0.00%","0.00%","0.00%","0.00%","0.00%","5.10%","0.00%","0.00%","5.10%","0.00%","0.00%","0.00%","0.00%","94.90%","72.20%","5.10%","17.70%","0.00%","0.00%",NA,NA,NA,NA,NA,NA,NA
"San Anselmo town, California",NA,"12,623",NA,"12,623","4,715.10","2.68",NA,"$107,818",NA,"$132,614",NA,"0.46",NA,"5,464",NA,"2,586","1,353","418","815","0","0",NA,"$914,400",NA,"$1,638",NA,"30.80%",NA,"25.00%","28.70%","11.50%",NA,"1,408","236","0","0","236","148","0","0","148","117","0","0","117","220","29","52","139","631","311","260","60","29","27",NA,"35",NA,"3,860",NA,NA,NA
"X267",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"52.30%","16.20%","31.50%","0.00%","0.00%",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"16.80%","0.00%","0.00%","16.80%","10.50%","0.00%","0.00%","10.50%","8.30%","0.00%","0.00%","8.30%","15.60%","2.10%","3.70%","9.90%","44.80%","22.10%","18.50%","4.30%","2.10%","1.90%",NA,NA,NA,NA,NA,NA,NA
"San Bruno city, California",NA,"42,736",NA,"42,736","7,801.10","5.48",NA,"$89,000",NA,"$100,601",NA,"0.4",NA,"15,321",NA,"18,757","8,190","3,380","7,177","0","10",NA,"$668,700",NA,"$1,834",NA,"28.40%",NA,"22.90%","28.60%","10.00%",NA,"6,517","311","0","15","296","794","13","0","781","575","0","79","496","1,192","135","351","706","3,380","1,424","1,337","619","75","190",NA,"28",NA,"8,323",NA,NA,NA
"X269",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"43.70%","18.00%","38.30%","0.00%","0.10%",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"4.80%","0.00%","0.20%","4.50%","12.20%","0.20%","0.00%","12.00%","8.80%","0.00%","1.20%","7.60%","18.30%","2.10%","5.40%","10.80%","51.90%","21.90%","20.50%","9.50%","1.20%","2.90%",NA,NA,NA,NA,NA,NA,NA
"San Carlos city, California",NA,"29,596",NA,"29,596","5,344.10","5.54",NA,"$135,220",NA,"$168,696",NA,"0.46",NA,"11,866",NA,"7,639","2,913","740","3,896","90","0",NA,"$1,107,600",NA,"$1,849",NA,"28.30%",NA,"21.20%","24.10%","10.00%",NA,"3,351","265","11","0","254","325","0","0","325","336","6","41","289","655","0","254","401","1,601","839","570","192","52","117",NA,"28",NA,"8,043",NA,NA,NA
"X271",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"38.10%","9.70%","51.00%","1.20%","0.00%",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"7.90%","0.30%","0.00%","7.60%","9.70%","0.00%","0.00%","9.70%","10.00%","0.20%","1.20%","8.60%","19.60%","0.00%","7.60%","12.00%","47.80%","25.00%","17.00%","5.70%","1.60%","3.50%",NA,NA,NA,NA,NA,NA,NA
"San Francisco city, California",NA,"850,282",NA,"850,282","18,140.20","46.87",NA,"$87,701",NA,"$103,363",NA,"0.52",NA,"386,755",NA,"474,453","93,352","132,497","247,253","1,067","284",NA,"$858,800",NA,"$1,632",NA,"26.90%",NA,"21.60%","26.40%","10.00%",NA,"225,466","41,399","1,246","6,257","33,896","23,810","1,544","2,938","19,328","18,148","2,349","3,863","11,936","27,992","4,723","8,847","14,422","104,061","60,882","31,106","12,073","4,549","5,507",NA,"32",NA,"131,331",NA,NA,NA
"X273",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"19.70%","27.90%","52.10%","0.20%","0.10%",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"18.40%","0.60%","2.80%","15.00%","10.60%","0.70%","1.30%","8.60%","8.10%","1.00%","1.70%","5.30%","12.40%","2.10%","3.90%","6.40%","46.20%","27.00%","13.80%","5.40%","2.00%","2.40%",NA,NA,NA,NA,NA,NA,NA
"San Jose city, California",NA,"1,009,363",NA,"1,009,363","5,717.90","176.53",NA,"$90,303",NA,"$99,608",NA,"0.45",NA,"328,185",NA,"415,746","176,579","60,506","172,887","5,620","154",NA,"$658,000",NA,"$1,689",NA,"31.70%",NA,"22.40%","25.60%","10.10%",NA,"136,195","21,899","414","1,533","19,952","17,011","448","886","15,677","16,135","637","1,924","13,574","21,880","1,985","7,038","12,857","54,521","24,912","21,658","7,951","1,715","3,034",NA,"28",NA,"181,122",NA,NA,NA
"X275",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"42.50%","14.60%","41.60%","1.40%","0.00%",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"16.10%","0.30%","1.10%","14.70%","12.50%","0.30%","0.70%","11.50%","11.90%","0.50%","1.40%","10.00%","16.10%","1.50%","5.20%","9.40%","40.00%","18.30%","15.90%","5.80%","1.30%","2.20%",NA,NA,NA,NA,NA,NA,NA
"San Leandro city, California",NA,"89,039",NA,"89,039","6,673.30","13.34",NA,"$64,065",NA,"$76,704",NA,"0.43",NA,"33,079",NA,"38,232","17,279","6,254","14,541","114","44",NA,"$426,900",NA,"$1,319",NA,"31.20%",NA,"21.60%","26.80%","10.00%",NA,"14,655","2,027","15","174","1,838","2,713","49","85","2,579","2,483","78","563","1,842","3,112","496","1,759","857","3,669","2,164","1,254","251","162","489",NA,"31",NA,"17,209",NA,NA,NA
"X277",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"45.20%","16.40%","38.00%","0.30%","0.10%",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"13.80%","0.10%","1.20%","12.50%","18.50%","0.30%","0.60%","17.60%","16.90%","0.50%","3.80%","12.60%","21.20%","3.40%","12.00%","5.90%","25.00%","14.80%","8.60%","1.70%","1.10%","3.30%",NA,NA,NA,NA,NA,NA,NA
